imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt0053967,,0,0,,1 hr 36 min,Drama,0,1463,1463
tt0066078,,0,0,,3 hr 23 min,Action Biography Drama History War,0,0,0
tt0030469,,0,0,,1 hr 3 min,Crime Drama Mystery Thriller,0,0,0
tt0053072,,0,0,,1 hr 18 min,Drama Sci-Fi,0,0,0
tt1268799,Warner Bros.,12954142,19000000,R,1 hr 30 min,Adventure Comedy,35061031,1131744,36192775
tt0086456,,0,0,,1 hr 44 min,Romance Sci-Fi,0,18703,18703
tt0030483,,0,0,,1 hr 2 min,Mystery,0,0,0
tt1405810,,0,0,,1 hr 50 min,Comedy Drama Romance,0,15340429,15340429
tt0023450,,0,0,,1 hr 32 min,Comedy Drama,0,0,0
tt0104587,,0,0,,1 hr 12 min,Drama,0,0,0
tt1082009,Zeitgeist Films,28092,0,,1 hr 37 min,Drama,478710,1979891,2458601
tt0020075,,0,0,,2 hr 45 min,Drama Romance,0,0,0
tt1542852,Strand Releasing,15810,0,,1 hr 47 min,Crime Drama Romance Thriller,85526,4034486,4120012
tt0430652,,0,0,,1 hr 30 min,Drama Romance,0,0,0
tt1517489,Dimension Films,11644672,27000000,PG,1 hr 29 min,Action Adventure Comedy Drama Family Fantasy Sci-Fi,38538188,47026122,85564310
tt0278069,,0,0,,1 hr 30 min,Documentary Music,0,199065,199065
tt0098175,,0,0,,2 hr 2 min,Adventure Comedy Drama,0,1382,1382
tt0029557,,0,0,,1 hr 11 min,Comedy Drama,0,0,0
tt0040597,,0,0,,1 hr 20 min,Comedy Fantasy Romance,0,0,0
tt0023937,,0,0,,1 hr 40 min,Drama,0,0,0
tt1314242,,0,0,,1 hr 28 min,Comedy Horror,0,88437,88437
tt0061620,,0,0,,1 hr 31 min,Biography Drama Romance,0,0,0
tt1270761,FilmDistrict,8525728,25000000,R,1 hr 39 min,Fantasy Horror Thriller,24046682,14222847,38269529
tt0358670,,0,0,,1 hr 28 min,Drama,0,0,0
tt1438176,Walt Disney Studios Motion Pictures,7714388,30000000,R,1 hr 46 min,Action Comedy Drama Horror Mystery,18302607,22700000,41002607
tt1403177,Wrekin Hill Entertainment,126046,7000000,R,1 hr 46 min,Comedy Drama,382946,66756,449702
tt1549572,Fox Searchlight,77740,0,PG-13,1 hr 32 min,Drama Mystery Romance Sci-Fi,1321194,617589,1938783
tt0246005,,0,0,,1 hr 20 min,Comedy Drama,0,0,0
tt0071406,,0,0,,1 hr 44 min,Drama Fantasy,0,0,0
tt0091865,,0,0,,9 min,Comedy Music Short Sport,0,0,0
tt0301050,Cinema Tropical,9899,0,,1 hr 15 min,Drama,33098,9353,42451
tt0808276,,0,0,,1 hr 37 min,Horror Thriller,0,3885577,3885577
tt1031225,,0,0,,1 hr 26 min,Documentary,0,280,280
tt0077157,,0,0,,55 min,Documentary,0,0,0
tt0293475,,0,0,,53 min,Documentary,0,0,0
tt1764657,,0,0,,1 hr 20 min,Documentary,0,37983,38601
tt1464580,IFC Films,7258,0,R,1 hr 38 min,Drama Horror Sci-Fi,33245,372135,405380
tt1743720,Sony Pictures Classics,118294,1800000,PG-13,1 hr 30 min,Comedy Documentary,638476,59773,698249
tt1226753,Focus Features,9909499,20000000,R,1 hr 53 min,Drama Thriller,31177548,14458820,45636368
tt1657507,TriStar Pictures,10408176,40000000,PG-13,1 hr 48 min,Action Drama Thriller,36665854,34842586,71508440
tt1621444,Zeitgeist Films,33677,0,,1 hr 24 min,Biography Documentary History,1510026,700356,2210382
tt0070180,,0,0,,1 hr 48 min,Drama,0,0,0
tt1152822,Magnolia Pictures,31893,2900000,PG-13,1 hr 33 min,Documentary,101270,20946,122216
tt0450367,,0,0,,1 hr 21 min,Drama Sci-Fi,0,0,0
tt0066416,,0,0,,1 hr 15 min,Documentary History,0,0,0
tt1189073,Sony Pictures Classics,223119,0,R,2 hr,Drama Mystery Thriller,3185812,30530577,33716389
tt0048724,,0,0,,1 hr 37 min,Crime Drama Film-Noir Thriller,0,0,0
